United States,,,,
number,Location,Code,Type,Amazon warehouse address
317,Florida,TPA6,,"3400 NW 35TH AVE RD, Ocala, FL"
318,Florida,UFL1,FC,"15600 NW 15th Ave, Miami Gardens, FL 33169"
319,Florida,UFL2,FC,"101 NE 23rd Street, Miami, FL 33137"
320,Florida,UFL3,FC,"4430 East Adamo Suite 305, Tampa, FL 33605"
321,Florida,UFL4,FC,"7469 Kingspointe Parkway, Orlando, FL 32819 – Orange County"
322,Florida,UFL5,,"4769 Oak Fair Blvd, TAMPA, FL"
323,Florida,UFL6,,"3200 NW 67th Avenue, MIAMI, FL"
324,Florida,UFL7,,"6843 S Conway Rd, ORLANDO, FL"
325,Florida,XUSF,FC,"901 West Landstreet Road Suite C, Orlando, FL 32824"
326,Georgia,ALT9,FC,"(920 Highway 124), Braselton, GA 30517"
327,Georgia,ATL2,FC,"2255 W Park Blvd, Stone Mountain, Georgia, 30087 , DeKalb County"
328,Georgia,ATL6,SC,"4200 North Commerce, Atlanta, GA 30344-5707"
329,Georgia,ATL7,FC,"6855 Shannon Pkwy, Union City, GA 30291-2091"
330,Georgia,ATL8,SC,"2201 Thornton Rd., Lithia Springs, GA 30122"
331,Georgia,CGA2,FC,"77 Collier Rd NW, Atlanta, GA 30309"
332,Georgia,DAT1,FC,"2-20 E South St, Smyrna, DE 19977"
333,Georgia,DAT2,FC,"1544-1542 E Cleveland Ave, EastPoint, GA 30344"
334,Georgia,DAT3,DC,"2750 Sullivan Rd, Atlanta, GA 30337, United States"
335,Georgia,FGA2,FC,"2185-2199 La Dawn Ln NW, Atlanta, GA 30318"
336,Georgia,GAT1,,"86 5th St NW, Atlanta, GA"
337,Georgia,HGA3,,"2160 Breckenridge Blvd, Site 10, Lawrenceville, GA"
338,Georgia,MGE1,FC,"650 Broadway Ave, Braselton, GA 30517-3002"
339,Georgia,MGE3,FC,"808 Hog Mountain Rd., Building F, Jefferson, GA, 30549"
340,Georgia,MGE5,SC,"235 Hog Mountain Rd, Jefferson, GA 30549, United States"
341,Georgia,MGE7,FC,"650 Broadway Ave, Braselton, GA 30517-3002 – Jackson County"
342,Georgia,PGA1,FC,"6200 Fulton Industrial Blvd, Atlanta, Georgia, 30336 , Fulton County (Seasonal facility)"
343,Georgia,RAT2,FC,"206 Washington St SW, Atlanta, GA 30334"
